can,cancel,0.9833333333333333
prepare,prepare,1.0
half,half,1.0
unavailable,unavailable,1.0
upload,upload,1.0
desc,descriptor,0.78125
your,your,1.0
remote,remote,1.0
rider,rider,1.0
without,without,1.0
calc,calculate,0.24242424242424243
persistent,persistent,1.0
ten,ten,1.0
dests,destinations,0.6
optional,optional,1.0
require,require,1.0
zeros,zeros,1.0
rewrite,rewrite,1.0
size,size,1.0
correlation,correlation,1.0
sender,sender,1.0
left,left,1.0
reserved,reserved,1.0
obj,object,0.057971014492753624
flight,flight,1.0
role,role,1.0
balanced,balanced,1.0
example,example,1.0
result,result,1.0
chs,characters,0.5
reconnect,reconnect,1.0
same,same,1.0
after,after,1.0
mul,multiplication,0.75
flip,flip,1.0
connect,connect,1.0
policy,policy,1.0
resolved,resolved,1.0
hand,hand,1.0
rebuild,rebuild,1.0
resume,resume,1.0
add,address,0.7905138339920948
sets,sets,1.0
truncated,truncated,1.0
printing,printing,1.0
gnu,gnu,1.0
t,the,0.5
component,component,1.0
destroyed,destroyed,1.0
suite,suite,1.0
throw,throw,1.0
persistence,persistence,1.0
days,days,1.0
info,information,0.6666666666666666
quarantine,quarantine,1.0
returned,returned,1.0
faces,faces,1.0
wrap,wrap,1.0
replicated,replicated,1.0
std,standard,0.7619047619047619
r,resolve,0.45454545454545453
c,correct,0.14285714285714285
powered,powered,1.0
reader,reader,1.0
converting,converting,1.0
completeness,completeness,1.0
good,good,1.0
e,empty,0.0273972602739726
compute,compute,1.0
pad,pad,1.0
passable,passable,1.0
payload,payload,1.0
lite,lite,1.0
exp,export,0.8709677419354839
area,area,1.0
tracing,tracing,1.0
visibility,visibility,1.0
unchecked,unchecked,1.0
check,check,1.0
ls,list,0.06153846153846154
shadowing,shadowing,1.0
sand,sand,1.0
wire,wire,1.0
external,external,1.0
sparse,sparse,1.0
success,success,1.0
authority,authority,1.0
creature,creature,1.0
child,child,1.0
outgoing,outgoing,1.0
provided,provided,1.0
obsolete,obsolete,1.0
decomposition,decomposition,1.0
medium,medium,1.0
locale,locale,1.0
representation,representation,1.0
remove,remove,1.0
fatal,fatal,1.0
surrogates,surrogates,1.0
unsupported,unsupported,1.0
provider,provider,1.0
shivering,shivering,1.0
root,root,1.0
defaulted,defaulted,1.0
hard,hard,1.0
mul,multiply,0.7006369426751592
compiler,compiler,1.0
sampled,sampled,1.0
live,live,1.0
headers,headers,1.0
ticket,ticket,1.0
replicas,replicas,1.0
multi,multiple,0.7021276595744681
magnet,magnet,1.0
with,with,1.0
populate,populate,1.0
china,china,1.0
serv,service,0.056962025316455694
there,there,1.0
syntax,syntax,1.0
handling,handling,1.0
named,named,1.0
atlas,atlas,1.0
channel,channel,1.0
invisible,invisible,1.0
delivered,delivered,1.0
signatures,signatures,1.0
dummy,dummy,1.0
cores,cores,1.0
executor,executor,1.0
normalize,normalize,1.0
block,block,1.0
per,per,1.0
w,write,0.015037593984962405
flow,flow,1.0
order,order,1.0
period,period,1.0
b,byte,0.12195121951219512
picnic,picnic,1.0
suspended,suspended,1.0
daylight,daylight,1.0
install,install,1.0
binary,binary,1.0
integration,integration,1.0
hash,hash,1.0
gun,gun,1.0
wait,wait,1.0
ping,ping,1.0
save,save,1.0
shutting,shutting,1.0
recursive,recursive,1.0
instant,instant,1.0
top,top,1.0
native,native,1.0
too,too,1.0
iterated,iterated,1.0
peer,peer,1.0
have,have,1.0
linear,linear,1.0
robust,robust,1.0
heading,heading,1.0
hyphen,hyphen,1.0
inconsistent,inconsistent,1.0
produce,produce,1.0
ns,names,0.06666666666666667
disable,disable,1.0
attrs,attributes,0.09090909090909091
constraint,constraint,1.0
markers,markers,1.0
entity,entity,1.0
thousand,thousand,1.0
minor,minor,1.0
arrows,arrows,1.0
prevents,prevents,1.0
decode,decode,1.0
upon,upon,1.0
nested,nested,1.0
f,function,0.9333333333333333
v,verification,0.6666666666666666
suspend,suspend,1.0
comparison,comparison,1.0
timed,timed,1.0
swap,swap,1.0
tick,tick,1.0
less,less,1.0
condition,condition,1.0
naming,naming,1.0
mapped,mapped,1.0
try,try,1.0
basic,basic,1.0
unclean,unclean,1.0
locate,locate,1.0
latency,latency,1.0
cause,cause,1.0
mapper,mapper,1.0
reorder,reorder,1.0
units,units,1.0
selectors,selectors,1.0
timer,timer,1.0
effective,effective,1.0
times,times,1.0
eviction,eviction,1.0
busy,busy,1.0
extra,extra,1.0
working,working,1.0
unpack,unpack,1.0
floor,floor,1.0
